Date,Disease,Frequency,Average Age,StdDev Age,Subdistrict
2016-11-21,J18.0,1,77.0,0.0,7
2016-11-22,J18.0,1,42.0,0.0,5
2016-11-27,J18.0,2,2.5,1.5,3
2016-11-28,J18.0,2,2.5,2.5,4
2016-12-01,J18.0,1,7.0,0.0,3
2016-12-03,J18.0,1,15.0,0.0,6
2016-12-04,J18.0,2,3.0,2.0,4
2016-12-07,J18.0,1,0.0,0.0,2
2016-12-10,J18.0,1,5.0,0.0,7
2016-12-13,J18.0,1,1.0,0.0,4
2016-12-14,J18.0,2,49.5,13.5,5
2016-12-15,J18.0,1,15.0,0.0,6
2016-12-19,J18.0,2,14.0,14.0,4
2016-12-22,J18.0,3,2.3333333333333335,1.8856180831641267,2
2016-12-23,J18.0,1,0.0,0.0,3
2016-12-26,J18.0,1,53.0,0.0,3
2016-12-30,J18.0,1,31.0,0.0,3
2016-12-31,J18.0,1,6.0,0.0,7
2017-01-01,J18.0,2,19.5,12.5,3
2017-01-05,J18.0,2,4.0,0.0,4
2017-01-06,J18.0,1,42.0,0.0,2
2017-01-08,J18.0,1,55.0,0.0,2
2017-01-17,J18.0,1,81.0,0.0,5
2017-01-18,J18.0,1,49.0,0.0,3
2017-01-19,J18.0,1,9.0,0.0,5
2017-01-20,J18.0,1,2.0,0.0,5
2017-01-21,J18.0,1,59.0,0.0,3
2017-01-22,J18.0,3,32.0,33.793490497431605,2
2017-01-23,J18.0,1,84.0,0.0,4
2017-01-24,J18.0,3,21.333333333333332,25.97862369119829,4
2017-01-29,J18.0,1,5.0,0.0,4
2017-01-30,J18.0,2,4.5,0.5,4
2017-01-31,J18.0,2,16.0,11.0,2
2017-02-01,J18.0,1,52.0,0.0,3
2017-02-02,J18.0,2,53.0,7.0,3
2017-02-05,J18.0,1,6.0,0.0,3
2017-02-06,J18.0,2,15.0,13.0,3
2017-02-08,J18.0,2,53.0,7.0,5
2017-02-10,J18.0,1,26.0,0.0,5
2017-02-14,J18.0,1,84.0,0.0,2
2017-02-15,J18.0,1,65.0,0.0,7
2017-02-19,J18.0,1,35.0,0.0,7
2017-02-20,J18.0,1,25.0,0.0,1
2017-02-21,J18.0,1,37.0,0.0,3
2017-02-22,J18.0,1,1.0,0.0,6
2017-02-24,J18.0,2,32.0,28.0,6
2017-02-27,J18.0,1,2.0,0.0,2
2017-02-28,J18.0,2,46.5,18.5,5
2017-03-01,J18.0,1,32.0,0.0,5
2017-03-03,J18.0,1,2.0,0.0,4
2017-03-05,J18.0,1,28.0,0.0,5
2017-03-06,J18.0,3,1.3333333333333333,0.4714045207910317,6
2017-03-07,J18.0,2,29.0,27.0,6
2017-03-08,J18.0,5,18.8,16.737980762326142,2
2017-03-09,J18.0,1,4.0,0.0,3
2017-03-10,J18.0,2,33.5,30.5,2
2017-03-12,J18.0,2,72.0,5.0,4
2017-03-13,J18.0,3,68.0,13.9522996909709,5
2017-03-14,J18.0,1,47.0,0.0,3
2017-03-15,J18.0,2,20.0,17.0,1
2017-03-16,J18.0,4,33.25,28.89095879336648,4
2017-03-17,J18.0,1,54.0,0.0,4
2017-03-18,J18.0,1,38.0,0.0,7
2017-03-19,J18.0,1,1.0,0.0,4
2017-03-20,J18.0,1,56.0,0.0,3
2017-03-23,J18.0,2,40.5,38.5,6
2017-03-28,J18.0,1,69.0,0.0,3
2017-03-30,J18.0,4,20.25,24.993749218554626,2
2017-03-31,J18.0,6,7.5,10.626225419530053,6
2017-04-03,J18.0,1,66.0,0.0,5
2017-04-04,J18.0,1,40.0,0.0,3
2017-04-05,J18.0,4,34.0,29.52117883825102,4
2017-04-06,J18.0,4,42.75,25.791229129298976,4
2017-04-08,J18.0,3,18.333333333333332,6.847546194724712,4
2017-04-09,J18.0,1,6.0,0.0,6
2017-04-10,J18.0,4,32.0,28.574464124459098,2
2017-04-11,J18.0,1,30.0,0.0,4
2017-04-12,J18.0,1,2.0,0.0,1
2017-04-13,J18.0,2,4.0,2.0,4
2017-04-14,J18.0,1,6.0,0.0,3
2017-04-15,J18.0,1,53.0,0.0,3
2017-04-16,J18.0,2,33.5,30.5,6
2017-04-17,J18.0,2,4.0,3.0,3
2017-04-19,J18.0,1,1.0,0.0,2
2017-04-20,J18.0,1,41.0,0.0,5
2017-04-21,J18.0,1,1.0,0.0,4
2017-04-23,J18.0,2,3.0,1.0,6
2017-04-25,J18.0,1,6.0,0.0,2
2017-04-26,J18.0,3,25.0,17.281975195754296,7
2017-04-27,J18.0,3,1.3333333333333333,0.4714045207910317,6
2017-04-28,J18.0,1,1.0,0.0,5
2017-04-29,J18.0,2,3.0,1.0,4
2017-05-01,J18.0,2,17.0,16.0,6
2017-05-02,J18.0,5,23.0,25.51078203426935,2
2017-05-04,J18.0,2,32.0,28.0,2
2017-05-05,J18.0,3,31.666666666666668,7.3181661333667165,3
2017-05-06,J18.0,1,6.0,0.0,3
2017-05-07,J18.0,2,2.5,1.5,6
2017-05-08,J18.0,4,6.0,7.176350047203662,2
2017-05-10,J18.0,1,1.0,0.0,4
2017-05-13,J18.0,1,2.0,0.0,6
2017-05-14,J18.0,2,3.5,2.5,4
2017-05-15,J18.0,2,2.0,0.0,6
2017-05-18,J18.0,2,1.5,0.5,4
2017-05-19,J18.0,1,1.0,0.0,7
2017-05-20,J18.0,1,1.0,0.0,3
2017-05-23,J18.0,1,46.0,0.0,5
2017-05-25,J18.0,1,22.0,0.0,3
2017-05-26,J18.0,1,4.0,0.0,4
2017-05-27,J18.0,1,61.0,0.0,2
2017-05-29,J18.0,1,1.0,0.0,5
2017-05-30,J18.0,1,5.0,0.0,7
2017-06-01,J18.0,1,67.0,0.0,5
2017-06-02,J18.0,4,2.25,1.299038105676658,2
2017-06-03,J18.0,1,2.0,0.0,5
2017-06-07,J18.0,1,1.0,0.0,7
2017-06-09,J18.0,1,8.0,0.0,3
2017-06-12,J18.0,1,15.0,0.0,7
2017-06-14,J18.0,2,5.0,0.0,7
2017-06-18,J18.0,1,52.0,0.0,3
2017-06-19,J18.0,2,38.0,37.0,6
2017-06-22,J18.0,1,77.0,0.0,3
2017-06-26,J18.0,1,1.0,0.0,5
2017-06-27,J18.0,1,57.0,0.0,4
2017-06-29,J18.0,2,1.0,0.0,4
2017-06-30,J18.0,2,53.0,5.0,4
2017-07-01,J18.0,1,2.0,0.0,6
2017-07-02,J18.0,2,28.5,11.5,5
2017-07-03,J18.0,1,4.0,0.0,6
2017-07-05,J18.0,4,2.5,0.5,6
2017-07-06,J18.0,1,6.0,0.0,3
2017-07-07,J18.0,1,68.0,0.0,4
2017-07-08,J18.0,1,6.0,0.0,6
2017-07-09,J18.0,1,7.0,0.0,5
2017-07-10,J18.0,2,34.5,27.5,4
2017-07-11,J18.0,2,9.5,9.5,4
2017-07-12,J18.0,1,3.0,0.0,6
2017-07-13,J18.0,1,2.0,0.0,3
2017-07-15,J18.0,2,20.0,19.0,3
2017-07-17,J18.0,2,52.5,20.5,2
2017-07-18,J18.0,2,19.5,12.5,7
2017-07-21,J18.0,1,49.0,0.0,5
2017-07-24,J18.0,1,67.0,0.0,1
2017-07-25,J18.0,1,1.0,0.0,7
2017-07-26,J18.0,2,60.5,0.5,4
2017-07-28,J18.0,2,16.5,11.5,3
2017-07-29,J18.0,1,6.0,0.0,4
2017-07-31,J18.0,2,32.0,31.0,2
2017-08-02,J18.0,1,1.0,0.0,1
2017-08-04,J18.0,1,62.0,0.0,5
2017-08-06,J18.0,1,5.0,0.0,3
2017-08-07,J18.0,1,4.0,0.0,2
2017-08-08,J18.0,2,48.0,5.0,4
2017-08-09,J18.0,2,2.5,1.5,4
